Measurement_Date,Trigger,Social_Posts_Published,Outreach_Sent,Replies,Positive_Replies,Affiliate_Program_Joined_Or_Applied,Affiliate_Tags_Saved,Top_Source,Main_Learning,Decision,Next_Action,Notes
2026-06-22,fifth_read_only_signal_recheck,4,5,0,0,0,0,TikTok,"Fresh read-only recheck: public homepage, affiliate program, profile invite, Pinterest Pin 1, Pinterest Pin 2, YouTube Short 1, and TikTok Video 1 all returned HTTP 200. TikTok Studio still shows Video 1 at 95 views, 0 likes, 0 comments, with duplicated hashtags visible. Pinterest Pin 2 still shows 0 and dashes for real-time estimates. Chrome growth mailbox is active for growth@wishees.com, but visible inbox threads are Web Summit messages, not first-batch creator replies. Affiliate requests remain exactly two old June 20 approved requests; product clicks remain 14 total with latest entries still 2026-06-22T08:30:50.400Z and 2026-06-22T08:26:09.392Z; weekly growth loop remains 1 link opened, 0 shares, 0 connections, 0 reservations.","keep_monitoring_publish_pin_3_when_ready","Publish Pinterest Pin 3 as the next low-risk channel-warming action; do not send batch 2 or TikTok Video 2 yet.","No new conversion signal. Mailbox access is available, but creator reply evidence is absent from the visible inbox; earlier sent-thread check remains the best direct-email evidence."
2026-06-22,pin3_staged_upload_blocked_by_macos_access,4,5,0,0,0,0,Pinterest,"Pinterest Pin Builder is open and staged for Pin 3 with board Gifts for Kids, title Baby shower wishlist made easy, enriched baby-shower description, and destination link https://www.wishees.com/?lang=en. The image was not attached and the pin was not published because macOS blocked direct UI/file-picker automation for this shell process with osascript assistive-access error -25211.","manual_upload_then_publish_pin3","Manual remaining step: in the open Pinterest builder tab, click the upload area, select /Users/thien.nguyen/thiennp.github.io/marketing/wishees-pin-assets/wishees-pin-baby-shower-wishlist.png, publish, then record the live URL and run the post-pin3 measurement playbook.","This is a publishing automation blocker, not a market signal. Do not count Pin 3 as published until a live Pinterest URL is captured."
2026-06-23,pin3_published_after_signal_recheck,6,5,0,0,0,0,Pinterest,"Fresh measurement found no new conversion signal: growth@wishees.com mailbox shows Web Summit threads but no first-batch creator replies; affiliate requests remain two old June 20 approvals; Wishees weekly loop remains 1 link opened, 0 shares, 0 connections, 0 reservations; product clicks remain 14 total; Facebook Reel 1 is still 0 views; TikTok public page shows duplicated hashtags and 0/0/0 engagement; YouTube Short public page shows 0 likes; Pinterest Pin 2 still shows 0 and dashes. Pin 3 was then published as the photo-led baby-shower variant.","monitor_pin3_and_do_not_scale_outreach","Monitor Pin 3, Facebook Reel 1, TikTok Video 1, YouTube Short 1, and growth@wishees.com replies before sending batch 2. Next low-risk content action is YouTube Short 2 or Pinterest Pin 5, but only after the immediate Pin 3 check window.","Published Pin 3 URL: https://de.pinterest.com/pin/1082834304184166760/. The live page verifies AI modified badge, board Gifts for Kids, title Baby shower wishlist made easy, destination link, description, and immediate stats 0/dashes."
2026-06-23,youtube_short_2_published_after_no_signal_check,7,5,0,0,0,0,YouTube,"Fresh continuation check still found no conversion signal: Pin 3 remained 0/dashes, growth@wishees.com mailbox showed no creator replies, Wishees weekly stats were unchanged at 1 link opened and 0 shares/connections/reservations, public Wishees homepage and affiliate program returned HTTP 200, and YouTube Short 1 still showed 0 visible likes. YouTube Short 2 was then published as the photo-led wedding-registry supplement proof point.","monitor_social_and_mailbox_do_not_scale_outreach","Monitor YouTube Short 2, Pin 3, Facebook Reel 1, TikTok Video 1, and growth@wishees.com. Do not send outreach batch 2 until a reply, application, saved affiliate tag, meaningful click/comment signal, or the 2026-06-27 follow-up decision point.","Published YouTube Short 2 URL: https://youtube.com/shorts/a7ahBbInb7k. Title: A simple wishlist next to your registry. Asset: wishees-photo-short-wedding-registry-2026-06-22.mp4. YouTube checks found no issues; audience not made for kids; visibility Public; public page resolves and shows 0 visible likes immediately after publishing. Studio warned external links may not be clickable until channel verification."
2026-06-23,youtube_short_2_corrected_audio_canonical,8,5,0,0,0,0,YouTube,"User rejected the original Short 2 sound, so the corrected romantic-audio replacement is now the canonical public Short. YouTube Studio list shows the corrected Short at 2 views and the old bad-audio copy at 6 views; no conversion signal is implied by this cleanup step.","monitor_corrected_short_manual_unlist_old","Monitor corrected Short 2 at https://youtube.com/shorts/bwNPQzPIYZc. Manually set the old bad-audio Short https://youtube.com/shorts/a7ahBbInb7k to Unlisted when Studio UI is available. Do not send outreach batch 2 until a reply, application, saved affiliate tag, meaningful click/comment signal, or the 2026-06-27 follow-up decision point.","Corrected Short URL: https://youtube.com/shorts/bwNPQzPIYZc. Original old Short URL: https://youtube.com/shorts/a7ahBbInb7k. Automation selected the old 6-view row but could not open/apply the Studio visibility dropdown because YouTube's custom controls ignored synthetic clicks and macOS Accessibility/System Events was not usable in this session."
2026-06-23,fresh_no_conversion_signal_after_channel_cleanup,8,5,0,0,0,0,YouTube,"Fresh cross-channel check found no conversion signal. YouTube Studio: corrected Short 2 has 2 views and 0 comments, old bad-audio Short has 6 views and 0 comments, Short 1 has 16 views and 0 comments. TikTok profile remains 0 followers and 40 likes; public Video 1 still shows 0 likes, 0 comments, 0 shares and duplicated hashtags. Facebook Content Library shows birthday Reel at 7 views with 0 engagement/comments. Pinterest Pin 3 loads by title but public DOM exposes no useful engagement counters. Wishees growth mailbox shows Web Summit threads only, no creator replies; affiliate requests remain the two old June 20 approvals; current-week loop remains 1 link opened, 0 shares, 0 connections, 0 gift reservations; product clicks remain 14 total with latest entries on 2026-06-22T08:30:50.400Z and 2026-06-22T08:26:09.392Z.","do_not_scale_outreach_prepare_next_low_risk_test","Do not send batch 2 yet. Next useful action is a low-risk channel test that avoids known issues: either publish TikTok Video 2 with a no-hashtag caption to test whether caption duplication is avoided, or publish the next Pinterest family/gift-moment pin if manual upload is available. Continue monitoring corrected YouTube Short 2 and mailbox.","This is a gate check, not a failure. Weak vanity views exist on YouTube/Facebook, but there is still no reply, affiliate application, saved tag, Wishees share/connect movement, or product-click movement."
2026-06-23,tiktok_video_2_prepared_upload_blocked_by_file_picker,8,5,0,0,0,0,TikTok,"TikTok Video 2 was prepared as the next low-risk channel test using the newer photo-led baby-shower MP4 and a no-hashtag caption to avoid the duplicated hashtag issue from Video 1. TikTok Studio upload page is logged in and exposes a standard input type=file, but automation could not attach the MP4 in this session: macOS file chooser did not select it, page fetch from localhost was blocked, browser chunk injection briefly created a File but TikTok cleared it, and synthetic drag/drop did not start processing.","manual_upload_video_2_or_use_pinterest_next","Manual next step: upload /Users/thien.nguyen/thiennp.github.io/marketing/wishees-upload-ready/wishees-photo-short-baby-shower-2026-06-22.mp4 to TikTok Studio, paste the no-hashtag caption once, publish to Everyone, then open the public URL and verify the caption did not duplicate. If manual TikTok upload is not available, use the next Pinterest family/gift-moment pin as the low-risk test.","No post was published in this step. The prepared caption is: Baby shower gifts get easier when essentials, books, diapers, and help for new parents live in one shareable list."
2026-06-23,public_and_owned_signal_recheck_after_pin6_preparation,8,5,0,0,0,0,None,"Fresh public and owned-panel recheck found no conversion signal. TikTok Video 1 is still public with duplicated hashtags and visible 0 likes, 0 comments, 0 favorites, and 0 shares. Corrected YouTube Short 2 resolves publicly by title but public DOM exposes no useful counters. Pinterest Pin 3 resolves by URL/title but public DOM exposes no useful counters. Facebook Reel 1 resolves publicly with Wishees birthday copy, and Facebook page shows 1.9K followers, Wishees bio/link, and the Photos area still surfacing old legacy photo links. Wishees owned statistics show 55 total wishes, 53 active, 2 closed, 11.2% average covered, and current week remains 0 shares, 1 link open, 0 connections, 0 gift reservations, 0 repeat sharers. Product clicks remain 14 total with latest records on 2026-06-22T08:30:50.400Z and 2026-06-22T08:26:09.392Z. Affiliate requests still show 1-2 of 2. In-app growth mailbox is still unassigned.","keep_batch2_paused_execute_next_low_risk_channel_test","Do not send outreach batch 2 yet. Next concrete action remains either manual TikTok Video 2 upload to test the no-hashtag caption or manual Pinterest Pin 6 publish using wishees-next-publish-card-2026-06-23.md. Keep Facebook deletion pending explicit approval.","This is a gate check after preparing Pin 6. It confirms social reach has not translated into replies, affiliate applications, saved tags, product-click movement, or Wishees share/connect movement."
2026-06-23,pinterest_pin6_in_app_builder_blocked,8,5,0,0,0,0,Pinterest,"Attempted to continue the next low-risk channel test by opening Pinterest Pin Builder for Pin 6 in the in-app browser. Both https://de.pinterest.com/pin-builder/ and https://www.pinterest.com/pin-builder/ resolved to the German builder URL, but the DOM snapshot stayed empty, no upload/title/board controls were exposed, and screenshot capture timed out. No Pin 6 content was published.","manual_chrome_publish_pin6_or_manual_tiktok_video2","Use Chrome/manual Pinterest upload for Pin 6 with wishees-next-publish-card-2026-06-23.md, or manually upload TikTok Video 2 if TikTok Studio file upload is available. Keep batch 2 outreach paused until a reply, application, saved tag, meaningful click/comment signal, or 2026-06-27 follow-up decision point.","This is a browser/tooling blocker, not a content blocker. Pin 6 asset and copy remain ready."
2026-06-23,demo_link_owner_session_check,8,5,0,0,0,0,Wishees,"Checked first-batch demo links and affiliate program in the current logged-in Wishees session. The affiliate program page resolves in English with the expected commission explanation. The /friends/16686 demo links redirect to /my-wishees/16686 in the owner session and show owner controls such as Edit, Share, and Remove; this is not proof of the creator-facing view.","verify_demo_links_logged_out_before_sending","Before sending any demo reply, open the selected /friends/16686?... demo link in a logged-out/private browser and verify English language, relevant sample wish visibility, no owner controls, and no broken state.","This is a reply-readiness guardrail, not a conversion signal. No outreach was sent and no lead status changed."
2026-06-23,demo_link_no_cookie_public_check,8,5,0,0,0,0,Wishees,"No-cookie/public-source check passed for the kids birthday demo and affiliate program. The demo wish returned 200, stayed on the /friends/16686 URL with lang=en, exposed public invite preview text and all three sample wishes, and showed Log in to link this invite plus Sign up rather than owner controls. The affiliate program returned 200 in English with Amazon Associates, eBay Partner Network, OTTO, and MediaMarkt copy.","demo_links_public_source_ok_visual_check_still_recommended","Use demo links in creator replies only with preview framing, and do one final visual logged-out/private check before sending when possible.","This improves reply readiness but is not a conversion signal. The public demo is a preview plus login/sign-up gate, not a fully interactive public wishlist."
2026-06-23,second_wave_gift_moment_discovery_ready,8,5,0,0,0,0,Organic Search,"Prepared a second-wave gift-moment outreach packet without sending anything. Added 8 non-duplicate family/gift prospects and 5 review-ready messages focused on baby shower, homeschool family, college/young-adult, toddler-mom, and teacher appreciation gift moments.","hold_second_wave_until_first_batch_gate","Keep second-wave outreach paused until a first-batch reply, creator demo request, application, saved tag, meaningful signal, or the 2026-06-27 follow-up decision point.","Artifacts: wishees-second-wave-gift-moment-leads-2026-06-23.csv and wishees-second-wave-outreach-review-packet-2026-06-23.md. No outreach sent."
2026-06-23,public_reachability_signal_check,8,5,0,0,0,0,Public URLs,"Public reachability check found Wishees homepage EN/VI, affiliate program EN, all three demo wish links, TikTok Video 1, corrected YouTube Short 2, Pinterest Pin 3, Facebook Reel 1, and the Facebook page returning 200. Demo pages still show English public preview with sample wishes and login/sign-up. Social pages resolved but did not expose reliable current engagement counters through this check.","keep_outreach_paused_execute_manual_channel_test","Do not send second-wave outreach yet. Next action remains manual Pinterest Pin 6 publish, or manual TikTok Video 2 upload if Pinterest remains blocked.","This is a public reachability check only. It does not verify creator replies, affiliate applications, saved tags, private Wishees dashboard movement, or reliable social engagement counters. Details: wishees-public-signal-check-2026-06-23.md."
2026-06-23,today_manual_execution_card_ready,8,5,0,0,0,0,Execution Planning,"Created a single-action manual execution card for the current blocker. Pin 6 asset exists at 1000x1500. TikTok Video 2 asset exists at 1080x1920 and 8 seconds. The card includes exact Pinterest copy, TikTok caption/settings, and tracker rows Pin 6 and Video 2 to update after publishing.","execute_one_manual_channel_test_only","Use wishees-today-execution-card-2026-06-23.md to publish Pinterest Pin 6, or TikTok Video 2 only if Pinterest remains blocked. Keep outreach paused.","No outreach was sent and no content was published by this step. This only reduces manual execution friction."
2026-06-23,tiktok_video_2_chrome_upload_retry_blocked,8,5,0,0,0,0,TikTok,"Retried TikTok Video 2 upload in the active Chrome tab. Chrome was on TikTok Studio upload, the page exposed the Select video upload UI and input type=file, and the prepared baby-shower MP4 exists. Tried JavaScript input click, real upload-panel click, and corrected Select video button click with macOS file chooser path entry. After each attempt the page still showed Select video to upload and the file input had zero files.","manual_user_upload_required_or_use_pinterest_chrome_if_available","Do not keep retrying the automated TikTok upload path. User should manually attach the MP4 in TikTok Studio, or switch Chrome to Pinterest Pin Builder and manually publish Pin 6. Keep outreach paused.","No post was published. This confirms the active Chrome TikTok upload blocker is at the file chooser/click layer, not asset readiness."
2026-06-23,pinterest_pin6_chrome_builder_retry_blocked,8,5,0,0,0,0,Pinterest,"Reused an existing logged-in Pinterest Chrome tab and navigated to https://de.pinterest.com/pin-builder/. Chrome loaded the builder URL with title Pinterest - Deutschland and readyState complete, but document body text was empty, no input or textarea controls were present, and only generic header buttons were exposed. No Pin 6 content was published.","manual_user_publish_required","User should manually publish Pinterest Pin 6 if their visible Chrome UI renders controls; otherwise use TikTok Studio manual upload. Keep outreach paused.","This confirms the Pinterest blocker exists in Chrome automation too, not only the in-app browser."
2026-06-23,private_growth_panel_no_conversion_movement,8,5,0,0,0,0,Wishees,"Read the open Wishees growth tabs in Chrome. growth@wishees.com mailbox is active but visible threads remain Web Summit 2026/application messages, not first-batch creator replies. Affiliate requests remain 1-2 of 2 with only the two June 20 approved requests. Product clicks remain 1-14 of 14 with latest clicks at 2026-06-22T08:30:50.400Z and 2026-06-22T08:26:09.392Z. Statistics remain 55 total wishes, 53 active, 2 closed, 11.2% average covered, and current week 0 shares, 1 link opened, 0 connections, 0 gift reservations, 0 repeat sharers.","keep_outreach_paused_manual_channel_test_or_wait_followup_gate","Keep outreach paused. Next concrete action remains manual channel publishing if possible, otherwise wait for the 2026-06-27 follow-up decision pass.","This is the strongest available private-panel check from open Chrome tabs. No outreach was sent and no content was published."
2026-06-23,facebook_page_cleanup_recheck,8,5,0,0,0,0,Facebook,"Chrome recheck confirmed the Facebook page top is Wishees-branded, with Wishees avatar, VN/EN cover, Wishees bio, wishees.com link, and the birthday Reel still visible. The remaining legacy problem is Photos/Albums: old photo links and album Mẫu thiệp ưu đãi tháng 8 still appear. Photo options exposed Change alt text, Edit location, Delete photo, Download; album options exposed only Download Album. No hide, archive, private, or non-destructive remove control was visible.","deletion_approval_required_for_legacy_photos","Do not delete anything without explicit approval. If approved, delete only old wedding-card/invitation-card/Thiệp Cưới Việt legacy content and keep avatar, cover, birthday Reel, and Wishees wishlist content.","This implements the safe part of the Facebook cleanup request: verified branding and checked hide options. Unrelated legacy content could not be hidden safely because Facebook only exposed destructive deletion for photos and no useful album cleanup control."
2026-06-23,pinterest_official_create_route_blocked,8,5,0,0,0,0,Pinterest,"Retried Pinterest through the official logged-in Chrome route instead of direct Pin Builder. Navigating from https://de.pinterest.com/ redirected to /business/hub/. Business Hub, profile, and account/options surfaces all rendered only a sparse shell: Business Hub/Pinterest, search, engagement, profile, and accounts/options. No Create, upload, title, board, link, textarea, file input, or pin editor controls were exposed. Pin 6 was not published.","manual_user_publish_required_or_use_other_channel","Do not keep retrying automated Pinterest publishing in this session. If the user's visible Pinterest UI renders correctly, manually publish Pin 6 from wishees-today-execution-card-2026-06-23.md. Otherwise use a channel with working upload controls, preferably YouTube Short 3 or Facebook Post 2, while keeping outreach paused.","This confirms the Pinterest blocker across in-app builder, direct Chrome builder, and official logged-in Home/Profile/Options route. It is a platform/UI automation blocker, not an asset/copy blocker."
2026-06-23,creator_short_photo_led_replacement_ready,8,5,0,0,0,0,Content Production,"Prepared a higher-quality photo-led replacement for the creator wishlist layer short, matching the newer Wishees realistic gift/planning style. Generated a vertical creator gift-guide desk visual, saved source and overlay images, and built an 8-second 1080x1920 H.264/AAC MP4 with the romantic soft gift audio bed. Updated the posting tracker so YouTube Short 3 and TikTok Video 3 now use this replacement instead of the older graphic-style asset.","upload_youtube_short3_when_ready_or_manual_tiktok_video3","Use the new MP4 for the next creator credibility post after the channel gate allows another upload. YouTube is the preferred automated path because previous YouTube uploads worked; TikTok still requires manual upload while Studio file selection is blocked.","Files: wishees-video-assets/wishees-photo-short-creator-wishlist-layer-2026-06-23.png, wishees-video-assets/wishees-photo-short-creator-wishlist-layer-overlay-2026-06-23.png, wishees-upload-ready/wishees-photo-short-creator-wishlist-layer-2026-06-23.mp4. No post was published and no outreach was sent."
2026-06-23,youtube_short3_upload_retry_blocked_by_file_attachment,8,5,0,0,0,0,YouTube,"Attempted to upload the new photo-led creator/affiliate Short 3 in Chrome YouTube Studio. Studio opened the upload dialog and exposed Select files plus input type=file. Tried macOS file picker path entry for wishees-photo-short-creator-wishlist-layer-2026-06-23.mp4, then tried browser-side File/DataTransfer injection using the small 428 KB MP4. Both attempts left the file input at zero files and did not advance to the upload details screen. No Short was published.","manual_youtube_short3_upload_required","Do not count Short 3 as published. Manually attach the MP4 in YouTube Studio, then use title Gift guide readers need wishlists too and the prepared affiliate-program description. After publish, capture the public Shorts URL and update the tracker.","This confirms YouTube is now blocked at the file attachment layer in the current Chrome session, similar to TikTok. Asset/copy are ready; the blocker is upload UI automation."
2026-06-23,facebook_reel_awareness_up_no_wishees_conversion,8,5,0,0,0,0,Facebook,"Fresh measurement found one strong awareness change but no owned-product conversion movement. Facebook Reel 1 now visibly shows 6.5K plus public counters 12 and 60, up from the earlier Content Library check of 7 views. TikTok Video 1 remains 95 views, 0 likes, 0 comments. Corrected YouTube Short 2 shows 0 visible likes. Pinterest Pin 3 shows 0 and dashes. Wishees owned dashboard still shows no creator replies, no new affiliate requests, product clicks still 14 total with latest on 2026-06-22, and current week still 0 shares, 1 link opened, 0 connections, 0 gift reservations. Fresh Facebook About verification shows no thiepcuoiviet and no old Gmail in the authoritative About text.","favor_facebook_vn_followup_but_keep_outreach_paused","Prioritize a Vietnamese-first Facebook follow-up manually because Facebook is the only channel showing meaningful awareness. Keep batch 2 outreach paused until a reply, affiliate request, saved tag, product-click movement, or Wishees share/connect movement appears.","The Facebook page Details/Links/Contact pages are clean on fresh checks: Links shows Wishees/wishees.com, Contact info shows no old Gmail. Old Photos/Albums still require deletion approval if cleanup should be permanent."
2026-06-23,facebook_post2_not_yet_published_public_recheck,8,5,0,0,0,0,Facebook,"In-app public Facebook recheck found Facebook Post 2 / baby-shower Reel is not visible on the public Posts or Reels surfaces. The Reels tab shows only the existing birthday Reel URL /reel/1682922216093334 and a visible thumbnail counter 165, while the direct Reel page still confirms the birthday Vietnamese copy but does not expose the earlier 6.5K/12/60 counters in this logged-out surface. Public page top still shows Wishees branding and wishees.com; Photos/Albums still expose legacy photo links and album Mẫu thiệp ưu đãi tháng 8.","publish_facebook_post2_manually_then_measure_owned_conversion","Publish Facebook Post 2 manually using wishees-next-publish-card-2026-06-23.md, then capture the live URL and recheck Wishees owned metrics. Keep outreach paused and do not delete legacy Facebook photos without explicit approval.","This was a read-only public check in the in-app browser. It does not disprove the earlier stronger 6.5K Reel reading because Facebook exposes different counters by surface; it does prove Post 2 is not currently visible publicly."
2026-06-23,facebook_post2_still_absent_reels_counter_256,8,5,0,0,0,0,Facebook,"Read-only in-app public Facebook recheck again found no Facebook Post 2 / baby-shower wording on the public Posts or Reels surfaces. The Reels tab still shows only the existing birthday Reel URL /reel/1682922216093334, and that Reels-tab surface now exposes a visible thumbnail counter 256, up from the earlier 165 on the same public surface. The home snapshot did not expose the baby-shower terms, birthday-copy terms, or old album title text; the Reels snapshot still exposes legacy photo links below the Reels area.","keep_post2_as_next_manual_publish","Keep Facebook Post 2 as the next manual publish. After it is live, use the Post 2 measurement card. Keep outreach paused and do not delete legacy Facebook photos without explicit approval.","This is another surface-specific public check. It strengthens the conclusion that Post 2 is not yet public and that the existing birthday Reel is still the only visible Reel."
2026-06-23,facebook_post2_exact_caption_absent_public_html_recheck,8,5,0,0,0,0,Facebook,"Fresh public HTML check of https://www.facebook.com/wisheescom/ and /reels/ found the page remains Wishees-branded, but none of the exact prepared Facebook Post 2 caption phrases are present: Baby shower dễ hơn khi mọi món cần thiết nằm trong một wishlist; tã, sách, khăn, đồ sơ sinh; những món giúp bố mẹ mới; Baby shower wishlist made easy; or Tạo wishlist tại https://www.wishees.com/?lang=vi. The local Post 2 console is still reachable at http://127.0.0.1:8766/wishees-facebook-post2-publish-console-2026-06-23.html.","keep_post2_as_next_manual_publish","Publish Facebook Post 2 manually, capture the live URL, then use the Post 2 measurement card. Keep outreach paused and do not delete legacy Facebook photos without explicit approval.","This check avoids counting the page bio's baby shower phrase as evidence of Post 2. It did not verify private Facebook admin state or Wishees-owned conversion panels."
2026-06-23,first_creator_reply_mint_chip_mama_budget_question,8,5,1,1,0,0,Wishees growth mailbox,"First direct creator reply received from The Mint Chip Mama / Stacey Gish Wallenstein. Reply text: Thanks! What's your budget? This is a positive commercial-interest signal, but not yet an affiliate application, saved tag, or Wishees-owned product conversion.","qualify_budget_and_scope_before_scaling","Reply in-thread asking for rates/media kit and suggesting a small test around holiday/family gift lists. Do not promise income or a large paid campaign. Keep batch 2 paused until this reply is qualified or another signal appears.","Original outreach angle: Simple holiday wishlists for family readers. Recommended stance: clarify whether she means sponsored content budget, ask for her standard options/rates, and keep Wishees positioned as a gift-list layer that works alongside existing affiliate links."
2026-06-23,gemini_style_reference_saved,8,5,1,1,0,0,Gemini,"Saved the first high-quality Gemini-generated Wishees image as the new social creative style reference. The image is warm, realistic, Vietnamese-first, readable, and better aligned with gift-moment conversion than earlier simple graphic assets.",use_gemini_style_for_next_assets,"Generate the next assets one by one from the Gemini prompt queue, starting with group-gift or creator-mini-wishlist. Use the result only if Vietnamese text and Wishees.com are spelled correctly.","Asset copied to wishees-gemini-assets/wishees-gemini-cafe-birthday-link-2026-06-23.png. Dimensions are 572x1024, so it is usable for quick social posts but should be regenerated/upscaled to 1080x1920 for sharper ads or videos."
2026-06-23,facebook_health_content_pack_ready,8,5,1,1,0,0,Facebook,"Created a Facebook-only health content pack so the page can look active and Wishees-branded before more outreach. Added a pinned intro/birthday post, baby shower follow-up, group gift prompt, creator prompt, wedding/registry supplement, comment replies, post queue, publish console, and upload-ready 1080x1920 image plus 8-second MP4 from the Gemini style reference.",focus_facebook_until_page_healthy,"Publish Facebook Health Post A first, then Post B after measurement or one day. Generate Post C/D in Gemini one by one. Keep outreach scaling paused until the page has recent healthy content or stronger conversion signal.","Files: wishees-facebook-health-content-plan-2026-06-23.md, wishees-facebook-health-post-queue-2026-06-23.csv, wishees-facebook-health-publish-console-2026-06-23.html, wishees-facebook-health-assets/wishees-fb-health-cafe-birthday-link-reel-2026-06-23.mp4."
