Item,Platform,Status,Asset,Title_or_Caption,Link,Target_Board_or_Surface,Published_URL,Published_Date,Clicks,Views,Comments,Notes
Photo Short C,YouTube/TikTok,Preferred replacement ready,marketing/wishees-upload-ready/wishees-photo-short-wedding-registry-2026-06-22.mp4,A wishlist next to your registry,https://www.wishees.com/?lang=en,YouTube Shorts or TikTok,,,,,,"Photo-led replacement for wedding registry supplement video. 1080x1920, 8s, H.264 video with AAC generated music/audio bed."
Video 1,TikTok,Published,marketing/wishees-upload-ready/wishees-tiktok-birthday-wishlist-2026-06-22.mp4,Gift guessing is optional now. Make a simple birthday wishlist and share one link.,https://www.wishees.com/?lang=en,TikTok,https://www.tiktok.com/@wishees_growth/video/7654324811610492182,2026-06-22,0,95,0,"Profile rebranded to display name Wishees and handle @wishees_growth; bio visible. Uploaded through TikTok Studio, content check lite showed no issues found, post published with privacy Everyone. TikTok profile still shows 0 followers and 40 likes; public video still shows 0 likes, 0 comments, 0 shares; caption still shows duplicated hashtags."
Video 2,TikTok,Ready - manual upload needed,marketing/wishees-upload-ready/wishees-photo-short-baby-shower-2026-06-22.mp4,Baby shower gifts get easier when essentials books diapers and help for new parents live in one shareable list.,https://www.wishees.com/?lang=en,TikTok,,,,,,"Next low-risk TikTok test after no-conversion gate. Uses the newer photo-led baby-shower MP4 with generated audio, not the older graphic-style asset. Video 1 public metadata duplicated hashtags, so paste this no-hashtag caption once and verify the public caption immediately after publishing. TikTok Studio upload page is logged in and exposes a standard file input, but automation could not attach the MP4: macOS file chooser did not select it, page fetch from localhost was blocked, browser chunk injection briefly created a File but TikTok cleared it, and synthetic drag/drop did not start processing. Manual upload remains needed."
Video 3,TikTok,Preferred photo-led replacement ready - manual upload needed,marketing/wishees-upload-ready/wishees-photo-short-creator-wishlist-layer-2026-06-23.mp4,Gift guide creators: Wishees gives readers a shareable wishlist layer. Your affiliate tags stay yours where supported.,https://www.wishees.com/affiliate/program?lang=en,TikTok,,,,,,Use after TikTok Video 2 or as creator credibility support for outreach. New photo-led MP4 replaces the older graphic-style creator asset and uses the romantic soft gift audio bed. Manual TikTok upload is still needed because TikTok Studio file selection is blocked for automation.
Video 4,TikTok,Upload-ready future video,marketing/wishees-upload-ready/wishees-short-grandparent-gift-coordination-2026-06-22.mp4,When family asks what to buy share one simple wishlist.,https://www.wishees.com/?lang=en,TikTok,,,,,,Use only after TikTok caption duplication is fixed or avoided.
Video 5,TikTok,Upload-ready future video,marketing/wishees-upload-ready/wishees-short-birthday-invite-wishlist-2026-06-22.mp4,Add one gift link to the birthday invite so guests stop guessing.,https://www.wishees.com/?lang=en,TikTok,,,,,,Use only after TikTok caption duplication is fixed or avoided.
Video 6,TikTok,Upload-ready future video,marketing/wishees-upload-ready/wishees-short-class-gift-list-2026-06-22.mp4,Class gifts do not need a messy group chat. Share one wishlist link.,https://www.wishees.com/?lang=en,TikTok,,,,,,Use only after TikTok caption duplication is fixed or avoided.
Photo Pin A,Pinterest,Planned photo-led test,To generate,Birthday gifts without guessing,https://www.wishees.com/?lang=en,Birthday Wishlist Ideas,,,,,,Realistic birthday cake photo with short overlay text. Test against graphic birthday pins.
Photo Pin B,Pinterest,Reference asset saved - needs final mobile text QA,marketing/wishees-pin-assets/wishees-photo-pin-baby-shower-reference.png,Baby shower wishlist made easy,https://www.wishees.com/?lang=en,Gifts for Kids or Baby Shower Gift Ideas,,,,,,"Realistic baby shower gift table with short overlay text. Test against graphic Pin 3. Saved as style reference and candidate asset; use this photo-led style for future Wishees photos/videos. Before publishing as final, check mobile text readability and regenerate if the overlay is too script-like or low contrast."
Photo Pin C,Pinterest,Planned photo-led test,To generate,A wishlist next to your registry,https://www.wishees.com/?lang=en,Wedding Gift Ideas,,,,,,Realistic wedding gift table with short overlay text. Test against graphic Pin 2.
Facebook Post 1,Facebook,Published,marketing/wishees-upload-ready/wishees-photo-short-birthday-cake-2026-06-22.mp4,Birthday gifts without guessing,https://www.wishees.com/?lang=vi,wishees.com Facebook page,https://www.facebook.com/reel/1682922216093334/,2026-06-22,0,6500,60,"Published from Chrome to the Wishees Facebook page as a public reel. Facebook confirmed: Your Post is successfully shared with EVERYONE. Caption was Vietnamese-first with English support and CTA https://www.wishees.com/?lang=vi. Latest public Reel page check on 2026-06-23 visibly shows 6.5K plus counters 12 and 60. Treat this as a strong Facebook awareness signal, but not a Wishees conversion signal because owned growth dashboard still shows current week 1 link opened, 0 connections, 0 gift reservations, and no new affiliate requests."
Facebook Post 2,Facebook,Ready VN-first - public recheck not visible yet,marketing/wishees-upload-ready/wishees-photo-short-baby-shower-2026-06-22.mp4,Baby shower wishlist made easy,https://www.wishees.com/?lang=vi,wishees.com Facebook page,,,,,,"Vietnamese-first baby shower post. Public in-app Facebook rechecks on 2026-06-23 did not find this baby-shower post on Posts or Reels; Reels still shows only the existing birthday Reel, with a surface-specific thumbnail counter now at 256. Publish Post 2 manually next using wishees-next-publish-card-2026-06-23.md. After publish, capture the live URL and measure Wishees-owned link opens, registrations, wishes, affiliate requests, and replies."
Facebook Post 3,Facebook,Ready VN-first,marketing/wishees-upload-ready/wishees-photo-short-wedding-registry-2026-06-22.mp4,A wishlist next to your registry,https://www.wishees.com/?lang=vi,wishees.com Facebook page,,,,,,"Vietnamese-first wedding registry supplement post. Use after birthday/baby-shower tests."
Facebook Support 1,Facebook,Ready conditional support asset,marketing/wishees-upload-ready/wishees-facebook-post2-explainer-2026-06-23.mp4,Baby shower dễ hơn - Một wishlist. Một link.,https://www.wishees.com/?lang=vi,wishees.com Facebook page,,,,,,"Use only after Facebook Post 2 is published and measured. This is a photo-led Vietnamese-first explainer asset with generated warm audio. If Post 2 gets reach but no Wishees-owned movement and the CTA/link appears unclear, use this as a comment/reply support asset or follow-up Reel. Source image: marketing/wishees-facebook-assets/wishees-facebook-post2-explainer-2026-06-23.png."
